date,dept_id,weekday,month,year,snap_CA,is_event,event_count,is_cultural_event,is_national_event,is_religious_event,is_sport_event,sales_qty,sell_price,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_42,lag_56,lag_84,rolling_mean_7,rolling_mean_14,rolling_mean_28,rolling_mean_42,rolling_mean_56,rolling_std_7,rolling_std_14,rolling_std_28,rolling_std_42,rolling_std_56,ewma_7,ewma_14,ewma_28,rolling_max_7,rolling_min_7,rolling_max_28,rolling_min_28,day_of_week,week_of_year,is_weekend,day_of_month,is_month_end,is_quarter_end,price_change_7,price_change_28,sell_price_lag_7,sell_price_lag_28,trend_index,snap_event_inter
2011-04-23,FOODS_1,Saturday,4,2011,0,0,0,0,0,0,0,487,2.9843442622950818,303.0,274.0,204.0,320.0,278.0,329.0,353.0,332.0,463.0,341.0,281.85714285714283,266.0,265.2857142857143,267.5,273.19642857142856,43.51792186915088,57.41214023317574,58.33482991277469,53.89296076030901,59.67561391476339,272.02518465273596,267.64500059011795,267.0896331855917,334.0,204.0,381.0,166.0,5,16,1,23,0,0,-0.0067085164602823655,-0.0038496006159360885,3.0045,2.995877192982456,84,0
2011-04-24,FOODS_1,Sunday,4,2011,0,1,2,1,0,1,0,464,2.9843442622950818,487.0,303.0,274.0,334.0,381.0,373.0,340.0,322.0,349.0,326.0,305.7142857142857,280.92857142857144,270.07142857142856,271.1904761904762,273.625,89.44963999501668,82.47467143657758,70.10623080642387,62.9615593506489,61.1319177160047,325.7688884908418,296.89248643139337,282.29085737408633,487.0,204.0,487.0,166.0,6,16,1,24,0,0,-0.0067085164602823655,-0.0038496006159360885,3.0045,2.995877192982456,85,0
2011-04-25,FOODS_1,Monday,4,2011,0,0,0,0,0,0,0,243,2.9843442622950818,464.0,487.0,303.0,257.0,234.0,262.0,265.0,274.0,261.0,260.0,324.2857142857143,286.85714285714283,274.5,274.57142857142856,275.67857142857144,107.89456935007473,92.5849773018173,78.14303125252638,69.25461782864984,65.48646137467368,360.32666636875337,319.17358898396253,294.8494375101499,487.0,204.0,487.0,166.0,0,17,0,25,0,0,-0.0067085164602823655,-0.0038496006159360885,3.0045,2.995877192982456,86,0
2011-04-26,FOODS_1,Tuesday,4,2011,0,1,1,0,0,1,0,222,2.9843442622950818,243.0,464.0,487.0,281.0,166.0,219.0,217.0,266.0,262.0,231.0,322.2857142857143,287.5,273.7142857142857,273.8333333333333,275.35714285714283,109.46797748765657,92.22026308288719,78.35241240128161,69.42583924211182,65.6038880697641,330.99499977616904,309.0170706533268,291.26646490674403,487.0,204.0,487.0,166.0,1,17,0,26,0,0,-0.0067085164602823655,-0.0038496006159360885,3.0045,2.995877192982456,87,0
2011-04-27,FOODS_1,Wednesday,4,2011,0,0,0,0,0,0,0,190,2.9843442622950818,222.0,243.0,464.0,204.0,199.0,256.0,186.0,225.0,264.0,220.0,313.85714285714283,291.5,273.89285714285717,272.7857142857143,274.64285714285717,115.29300148090597,87.64592227997659,78.22396113236708,69.87743126859253,65.96870568587909,303.7462498318509,297.414755163254,286.48057633918813,487.0,204.0,487.0,166.0,2,17,0,27,0,0,-0.0067085164602823655,-0.0038496006159360885,3.0045,2.995877192982456,88,0
2011-04-28,FOODS_1,Thursday,4,2011,0,0,0,0,0,0,0,230,2.9843442622950818,190.0,222.0,243.0,274.0,240.0,250.0,179.0,231.0,264.0,258.0,311.85714285714283,290.85714285714283,274.0357142857143,271.95238095238096,273.32142857142856,117.61438201658356,88.40627992213186,78.0609838252579,70.66546138827086,66.92006280029041,275.30968737367226,283.09274565401114,279.8152148793934,487.0,190.0,487.0,166.0,3,17,0,28,0,0,-0.0067085164602823655,-0.0038496006159360885,3.0045,2.995877192982456,89,0
2011-04-29,FOODS_1,Friday,4,2011,0,0,0,0,0,0,0,202,2.9843442622950818,230.0,190.0,222.0,303.0,253.0,239.0,236.0,217.0,252.0,285.0,305.57142857142856,290.14285714285717,275.85714285714283,271.92857142857144,272.7142857142857,121.09893633286948,88.8878785046361,76.33731881187751,70.67976315651204,67.15997571219293,263.9822655301897,276.0136948424019,276.3741415030024,487.0,190.0,487.0,166.0,4,17,0,29,0,0,-0.0067085164602823655,-0.0038496006159360885,3.0045,2.995877192982456,90,0
2011-04-30,FOODS_1,Saturday,4,2011,0,0,0,0,0,0,0,296,2.9843442622950818,202.0,230.0,190.0,487.0,320.0,278.0,329.0,334.0,299.0,309.0,291.14285714285717,286.5,274.64285714285717,271.57142857142856,271.82142857142856,127.31382298795964,91.53288606161848,77.25964606476587,71.00125139987634,67.7699603988931,248.48669914757608,266.14518037988717,271.2371885989656,487.0,190.0,487.0,166.0,5,17,1,30,1,0,0.0,-0.0038496006159360885,2.9843442622950818,2.995877192982456,91,0
2011-05-01,FOODS_1,Sunday,5,2011,1,0,0,0,0,0,0,303,2.9843442622950818,296.0,202.0,230.0,464.0,334.0,381.0,373.0,318.0,436.0,404.0,263.85714285714283,284.7857142857143,273.4642857142857,270.6666666666667,271.76785714285717,94.60871801165852,91.08084200434129,76.64902315961197,70.42611304320289,67.74926797898496,260.3650243607201,270.1258306227767,272.94735589717027,464.0,190.0,487.0,166.0,6,17,1,1,0,0,0.0,-0.0038496006159360885,2.9843442622950818,2.995877192982456,92,0
2011-05-02,FOODS_1,Monday,5,2011,1,0,0,0,0,0,0,192,2.9843442622950818,303.0,296.0,202.0,243.0,257.0,234.0,262.0,269.0,244.0,290.0,240.85714285714286,282.57142857142856,270.9642857142857,270.3095238095238,269.39285714285717,43.735677927860216,90.1645626155218,74.39060182719064,70.21794923585901,64.12138448327481,271.02376827056565,274.5090604848567,275.02264913401973,303.0,190.0,487.0,166.0,0,18,0,2,0,0,0.0,-0.0038496006159360885,2.9843442622950818,2.995877192982456,93,0
2011-05-03,FOODS_1,Tuesday,5,2011,1,0,0,0,0,0,0,232,2.9843442622950818,192.0,303.0,296.0,222.0,281.0,166.0,219.0,301.0,247.0,272.0,233.57142857142858,277.92857142857144,268.4642857142857,268.4761904761905,268.4642857142857,47.4125761897872,93.20487300376708,75.8646368322758,71.25058428352241,64.86796780193791,251.26782620288864,263.5078365881367,269.29001275710215,303.0,190.0,487.0,166.0,1,18,0,3,0,0,0.0,-0.0038496006159360885,2.9843442622950818,2.995877192982456,94,0
2011-05-04,FOODS_1,Wednesday,5,2011,1,0,0,0,0,0,0,205,2.9843442622950818,232.0,192.0,303.0,190.0,204.0,199.0,256.0,218.0,223.0,264.0,235.0,274.42857142857144,268.92857142857144,266.8333333333333,268.19642857142856,47.155770237232495,93.99731116098215,75.58998981906623,71.27785434709166,64.98906751218934,246.45086965215998,259.30678647001486,266.7153873129566,303.0,190.0,487.0,166.0,2,18,0,4,0,0,0.0,-0.0038496006159360885,2.9843442622950818,2.995877192982456,95,0
2011-05-05,FOODS_1,Thursday,5,2011,1,1,1,1,0,0,0,211,2.9843442622950818,205.0,232.0,192.0,230.0,274.0,240.0,250.0,211.0,265.0,346.0,237.14285714285714,274.5,267.10714285714283,266.5238095238095,267.875,45.0645040337683,93.94003815855497,76.52176610501526,71.5228901088583,65.26061390511688,236.0881522391095,252.0658737803655,262.4546848655686,303.0,192.0,487.0,166.0,3,18,0,5,0,0,0.0,-0.0038496006159360885,2.9843442622950818,2.995877192982456,96,1
2011-05-06,FOODS_1,Friday,5,2011,1,0,0,0,0,0,0,196,2.9843442622950818,211.0,205.0,232.0,202.0,303.0,253.0,239.0,289.0,235.0,351.0,234.42857142857142,270.0,265.7142857142857,266.5238095238095,266.9107142857143,46.12612109877703,95.4624372362078,77.19664987110984,71.5228901088583,65.7013288327536,229.81611417932737,246.5904188135044,258.9026172587611,303.0,192.0,487.0,166.0,4,18,0,6,0,0,0.0,-0.0038496006159360885,2.9843442622950818,2.995877192982456,97,0
2011-05-07,FOODS_1,Saturday,5,2011,1,0,0,0,0,0,0,365,2.975737704918033,196.0,211.0,205.0,296.0,487.0,320.0,278.0,353.0,332.0,429.0,233.57142857142858,262.35714285714283,264.17857142857144,264.3095238095238,266.2142857142857,46.878769689690486,96.88979238357285,78.16935724885029,72.24601874261286,66.25013599593989,221.3620856344907,239.8450241617518,254.56055805373703,303.0,192.0,487.0,166.0,5,18,1,7,0,0,-0.002883902331840882,-0.0010257169343873551,2.9843442622950818,2.978793103448276,98,0
2011-05-08,FOODS_1,Sunday,5,2011,1,1,1,1,0,0,0,321,2.975737704918033,365.0,196.0,211.0,303.0,464.0,334.0,381.0,340.0,322.0,625.0,243.42857142857142,253.64285714285714,267.2857142857143,264.5952380952381,266.80357142857144,65.67814741311636,78.9582237572571,80.4353235204611,72.62803984614455,66.98857966246794,257.2715642258834,256.5323660155809,262.1835238927401,365.0,192.0,487.0,166.0,6,18,1,8,0,0,-0.002883902331840882,-0.0010257169343873551,2.9843442622950818,2.978793103448276,99,1
2011-05-09,FOODS_1,Monday,5,2011,1,0,0,0,0,0,0,232,2.975737704918033,321.0,365.0,196.0,192.0,243.0,257.0,234.0,265.0,274.0,381.0,246.0,243.42857142857142,265.14285714285717,264.14285714285717,266.7857142857143,68.68284599034412,55.382188591520894,78.05777266240592,72.20484796526077,66.9737300699351,273.2036731694177,265.1280557887528,266.2430318533821,365.0,192.0,487.0,166.0,0,19,0,9,0,0,-0.002883902331840882,-0.0010257169343873551,2.9843442622950818,2.978793103448276,100,0
2011-05-10,FOODS_1,Tuesday,5,2011,1,0,0,0,0,0,0,214,2.975737704918033,232.0,321.0,365.0,232.0,222.0,281.0,166.0,217.0,266.0,262.0,251.71428571428572,242.64285714285714,265.07142857142856,263.35714285714283,266.0357142857143,65.00695933440326,55.46670122744743,78.0882352648109,72.37464231465485,67.12646525523557,262.90275487706083,260.71097934907255,263.8797093846863,365.0,196.0,487.0,166.0,1,19,0,10,0,0,-0.002883902331840882,-0.0010257169343873551,2.9843442622950818,2.978793103448276,101,0
2011-05-11,FOODS_1,Wednesday,5,2011,0,0,0,0,0,0,0,268,2.975737704918033,214.0,232.0,321.0,205.0,190.0,204.0,199.0,186.0,225.0,276.0,249.14285714285714,242.07142857142858,266.7857142857143,263.2857142857143,265.10714285714283,66.26066850308852,55.73628052743509,76.34005654179334,72.42297362035025,67.48566947445653,250.6770661577934,254.4828459163956,260.4373778411811,365.0,196.0,487.0,190.0,2,19,0,11,0,0,-0.002883902331840882,-0.0010257169343873551,2.9843442622950818,2.978793103448276,102,0
2011-05-12,FOODS_1,Thursday,5,2011,0,0,0,0,0,0,0,357,2.975737704918033,268.0,214.0,232.0,211.0,230.0,274.0,240.0,179.0,231.0,258.0,258.14285714285717,247.64285714285714,269.25,265.23809523809524,265.875,63.48603145949657,54.002289328761144,75.17565849149314,71.3865497763152,67.26529903706266,255.00779961834564,256.28513384301016,260.95926992627847,365.0,196.0,487.0,190.0,3,19,0,12,0,0,-0.002883902331840882,-0.0010257169343873551,2.9843442622950818,2.978793103448276,103,0
2011-05-13,FOODS_1,Friday,5,2011,0,0,0,0,0,0,0,222,2.975737704918033,357.0,268.0,214.0,196.0,202.0,303.0,253.0,236.0,217.0,265.0,279.0,256.7142857142857,273.42857142857144,269.4761904761905,268.125,69.1471860116761,61.02134377088379,76.7253053872871,71.42563524743359,68.17865901772015,280.50584971376185,269.71378728402925,267.5866930525632,365.0,196.0,487.0,190.0,4,19,0,13,0,0,-0.002883902331840882,-0.0010257169343873551,2.9843442622950818,2.978793103448276,104,0
2011-05-14,FOODS_1,Saturday,5,2011,0,0,0,0,0,0,0,344,2.975737704918033,222.0,357.0,268.0,365.0,296.0,487.0,320.0,329.0,334.0,492.0,282.7142857142857,258.14285714285717,272.32142857142856,269.14285714285717,268.2142857142857,64.48698650558444,59.86504970201027,77.25285734685771,71.61808309207935,68.11373223866482,265.87938728532026,263.3519470825566,264.44104892352016,365.0,214.0,487.0,190.0,5,19,1,14,0,0,0.0,-0.009573072085860335,2.975737704918033,3.0045,105,0
2011-05-15,FOODS_1,Sunday,5,2011,0,0,0,0,0,0,0,362,2.975737704918033,344.0,222.0,357.0,321.0,303.0,464.0,334.0,373.0,318.0,417.0,279.7142857142857,261.57142857142856,273.17857142857144,269.5,268.39285714285717,60.37856762603292,63.46618031641757,77.93161939538585,71.96043967381515,68.30218379882388,285.40954046399133,274.1050235836653,269.9306909686889,357.0,214.0,487.0,190.0,6,19,1,15,0,0,0.0,-0.009573072085860335,2.975737704918033,3.0045,106,0
2011-05-16,FOODS_1,Monday,5,2011,0,0,0,0,0,0,0,264,2.975737704918033,362.0,344.0,222.0,232.0,192.0,243.0,257.0,262.0,269.0,337.0,285.57142857142856,265.7857142857143,274.17857142857144,269.23809523809524,269.17857142857144,66.70796339982495,68.2102841010272,78.91441851610787,71.59363969700024,69.1312604313792,304.55715534799435,285.82435639719296,276.2833344161087,362.0,214.0,487.0,190.0,0,20,0,16,0,0,0.0,-0.009573072085860335,2.975737704918033,3.0045,107,0
2011-05-17,FOODS_1,Tuesday,5,2011,0,0,0,0,0,0,0,221,2.975737704918033,264.0,362.0,344.0,214.0,232.0,222.0,281.0,219.0,301.0,222.0,290.14285714285717,270.92857142857144,274.42857142857144,269.2857142857143,269.0892857142857,63.44138652180868,64.85067378300613,78.86905630428211,71.58937300693547,69.13472401720477,294.41786651099545,282.91444164608544,275.43583081526714,362.0,214.0,487.0,190.0,1,20,0,17,0,0,0.0,-0.009573072085860335,2.975737704918033,3.0045,108,0
2011-05-18,FOODS_1,Wednesday,5,2011,0,0,0,0,0,0,0,222,2.975737704918033,221.0,264.0,362.0,268.0,205.0,190.0,204.0,256.0,218.0,207.0,291.14285714285717,270.14285714285717,272.2857142857143,269.3333333333333,267.6607142857143,62.081743348128214,65.42271675902688,79.4964975435591,71.55576596107704,69.2897150404706,276.0633998832462,274.65918137123913,271.68007974523385,362.0,221.0,487.0,190.0,2,20,0,18,0,0,0.0,-0.009573072085860335,2.975737704918033,3.0045,109,0
2011-05-19,FOODS_1,Thursday,5,2011,0,0,0,0,0,0,0,190,2.975737704918033,222.0,221.0,264.0,357.0,211.0,230.0,274.0,250.0,211.0,249.0,284.57142857142856,271.35714285714283,272.92857142857144,268.5238095238095,267.73214285714283,67.16610539763131,64.26819663644756,78.99504371298815,71.90177517237285,69.23963422817856,262.54754991243436,267.6379561647769,268.25254539573785,362.0,221.0,487.0,190.0,3,20,0,19,0,0,0.0,-0.009573072085860335,2.975737704918033,3.0045,110,0
